Echantillon,'Type de roche',CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,As,Cd,Cr,Ni,Sc,V,Ba,Sr,Li,' Rb ',Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
107-02RM635.1.3C,'R.carbonatees & R.carbonatees impures',46.9,0.02,0,0.07,0.02,19.75,27.15,0.01,0.01,0.02,8011.905263,6,2930.5,170.125,32.111481,8.955172,3.6,16.838983,2.046939,18.717241,2.3,22.6,6.108333,0.25,1.5,0.3,0.1,0,1,0.5,0.3,0.4,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0.5
36-02BD333.1.3B,'R.carbonatees & R.carbonatees impures',46.89,0.13,0.005,0.32,0.02,19.59,27.3,0.02,0.05,0.01,1884,700.073684,7,2,7.2,8.955172,3.8,16.838983,0.6,2.9,12.1,44.4,1,0.8,3.5,1.5,0.2,0,2.3,2.3,0.6,2.4,0.4,0.1,0.4,0.1,0.4,0.1,0.3,0,0.2,0,0,0,0.2,1.7
140-02YH030.1.3A,'R.carbonatees & R.carbonatees impures',46.79,0.01,0,0.15,0.02,19.36,27.43,0.02,0.01,0.04,275,4,2930.5,3,32.111481,8.955172,3.9,2.5,2.046939,0.4,12.6,62.2,6.108333,0.1,1.8,0.6,0.6,0,0.9,0.8,0.2,0.6,0.1,0,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,1
57-02RM602.5.3F,'R.carbonatees & R.carbonatees impures',46.77,0.04,0.001,0.26,0.03,19.7,27.07,0.02,0.01,0.12,667,1,2930.5,170.125,32.111481,8.955172,4.1,16.838983,2.046939,4.9,3.8,71,6.108333,0.09,3.6,1,0.1,0,1.5,1.3,0.3,1.3,0.2,0.1,0.3,0,0.4,0.1,0.3,0,0.2,0,0,0,0,2.4
70-02RM608.1.3A,'R.carbonatees & R.carbonatees impures',46.76,0.03,0.001,0.16,0.02,19.44,27.33,0.02,0.01,0.02,93,2,11,1,32.111481,8.955172,4.8,16.838983,2.046939,1.8,11.2,52,6.108333,0.13,3,0.5,0.1,0,1.8,1.5,0.4,1.2,0.3,0.1,0.2,0,0.3,0.1,0.2,0,0.1,0,0,0,0,1.8
115-02YH012.2.3A,'R.carbonatees & R.carbonatees impures',46.74,0.16,0.005,0.29,0.09,19.48,27.26,0.07,0.06,0.09,402,7,2930.5,170.125,9.2,8.955172,1.4,3.5,0.2,3.8,14.8,90.5,2.8,1.24,5.7,1.9,0.2,0.1,2,2.5,0.6,2.3,0.5,0.1,0.5,0.1,0.6,0.1,0.4,0,0.2,0,0,0,0.2,1.4
75-02RM616.1.3A,'R.carbonatees & R.carbonatees impures',46.53,0.02,0.042667,0.25,0.02,19.59,26.93,0.02,0.01,0.03,790,4,2930.5,2,32.111481,8.955172,6.2,2.9,2.046939,2.5,3.8,44.3,6.108333,0.2,2,0.4,0.2,0,1,0.8,0.2,0.7,0.1,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0,1.1
77-02RM617.1.3B,'R.carbonatees & R.carbonatees impures',46.36,0.5,0.03,0.87,0.61,19,27.37,0.03,0.2,0.04,1273,36,32,2,32.111481,0.4,20.7,6.5,0.6,2.9,139.7,68.8,5.9,3.9,9.7,5.7,0.8,0.1,4.9,6.5,1,3.2,0.8,0.2,0.9,0.2,1.1,0.2,0.7,0.1,0.5,0.1,0.1,0,0.6,0.4
81-02RM621.1.3B,'R.carbonatees & R.carbonatees impures',46.34,0.02,0,0.14,0.01,19.32,27.02,0.03,0,0.01,200,1,2930.5,170.125,32.111481,8.955172,1.9,16.838983,2.046939,18.717241,2.5,48.8,6.108333,0.1,1.7,0.6,0.1,0,0.8,0.5,0.2,0.6,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,2
82-02RM622.1.3A,'R.carbonatees & R.carbonatees impures',46.24,0.28,0.01,0.26,0.03,19.3,26.94,0.03,0.12,0.22,836,1,2930.5,1,7.6,8.955172,5.6,4,0.3,3.9,43.9,53.9,4.8,3.3,4.8,4.1,0.5,0.1,2.7,2.6,0.7,2.5,0.5,0.1,0.5,0.1,0.5,0.1,0.3,0,0.2,0,0.1,0,0.2,4.4
